Номер           Сортировка      Сортировка     
эксперимента    вставками       выбором        
0               38,877          27,353         
1               37,281          24,895         
2               36,836          24,395         
3               40,417          25,426         
4               40,312          24,234         
5               51,979          24,129         
6               39,921          26,171         
7               38,180          23,653         
8               41,742          24,113         
9               40,602          24,406         
10              35,982          27,020         
11              38,631          25,457         
12              37,874          28,366         
13              39,222          25,713         
14              39,803          24,120         
15              35,365          23,132         
16              38,040          25,043         
17              38,062          26,817         
18              36,284          23,837         
19              43,773          28,419         
Среднее         41,234          27,629  
